favourites,followers,friends,likes,lists,retweets,statuses
9526,1921,1913,0,289,0,13606
34,13,145,0,0,0,25
250,925,952,0,155,0,22185
4,162,20,0,77,0,33261
325,1212,1227,0,175,0,22516
75,35,36,2,0,0,44
60091,885,555,0,7,0,56056
0,62,1,0,27,0,6843
3,56,49,0,16,0,40675
0,1522,530,0,358,0,445457
147,701,647,0,1,0,1110
250,1412,1361,0,173,0,22422
26523,1326,302,4,18,0,36730
810,9078,6910,0,1290,0,343203
3715,495,747,0,23,0,1595
59,3844,54,0,127,0,22757
38655,8074,221,1,166,0,115675
1372,1991,1997,0,195,0,33064
28,6328,6843,0,144,0,15135
649,234,334,1,2,0,1009
2309,1855,1972,0,194,0,37426
752,239,292,7,0,1,964
223,2043,1451,0,20,0,102043
869,1030,1048,0,194,0,27977
14,132,52,0,39,0,38115
4784,3099,2816,6,108,2,26768
13267,13309,9101,1,489,7,234204
853,923,1088,0,181,0,24672
1,16,97,0,3,0,744
18401,118,88,0,1,0,17317
37220,1070,74,3,17,0,24554
11731,61,107,5,1,0,12360
2678,945,493,0,3827,0,206048
21786,11957,209,47,96,12,11923
5919,863,587,0,37,0,34588
1884,324,283,10,3,1,4328
98663,5429,1496,2,90,0,195276
40674,1637,1125,4,23,1,17533
221,32,16,1,0,0,193
11512,3167,233,9,69,1,106200
22429,258,332,0,30,0,34468
9088,263,199,0,15,0,11024
1327,715,392,1,1,0,33829
810,9078,6910,0,1290,0,343203
832,847,1024,0,157,0,24135
14,753,88,0,76,3,7667
43183,4482,399,34,113,10,65328
1,14,11,1,9,0,56
327,1161,1210,0,170,0,22590
7819,310,255,2,5,0,26727
5516,229,233,3,3,2,7753
22978,249,182,0,8,1,26438
13267,13309,9101,0,489,0,234204
91,3588,2433,0,138,0,174268
59,3844,54,0,127,0,22757
8462,1018,561,2,1,0,13823
1589,2150,1161,0,29,0,4851
7,623,1431,0,17,0,375964
976,913,1065,0,165,0,24181
0,1115,0,0,30,0,54591
14830,556,991,0,7,0,3436
11585,1549,128,1,18,1,7837
3,137,234,0,2,0,1573
10,960,169,0,2234,0,510077
25377,233,261,2,2,0,17908
1125,869,890,0,155,0,28112
308,80,114,0,0,0,895
2197,156,336,0,7,0,25936
1589,2150,1161,0,28,0,4851
15348,354,185,3,2,0,30878
1,30,109,0,21,0,17286
14,132,52,0,39,0,38115
58234,75,82,5,5,0,20547
6032,178,152,10,1,0,9894
20838,2910,66,0,75,0,97705
1343,5419,2598,0,170,0,230406
6643,128,347,0,4,0,12343
30,433,313,0,7,0,2603
431,231,424,0,36,0,2272
810,9078,6910,0,1290,0,343203
7343,192,360,1,1,0,3854
4489,907,357,1,6,1,13609
40674,1637,1125,7,23,3,17533
9378,612,578,18,5,5,11177
810,9074,6908,0,1290,0,343166
10463,259,214,1,3,1,13939
132,213,216,0,1,0,2707
942,1069,998,1,180,0,27839
810,9078,6910,0,1290,1,343203
11931,1235,137,1,25,0,69090
308,1594,4996,1,21,0,5489
28,463,112,0,1,0,22196
2,89,212,0,25,0,4918
1556,3370,137,0,91,0,3341
602,213,226,0,8,0,4380
0,1115,0,0,30,0,54591
39488,2526,3006,1,230,0,25549
0,225,60,0,133,0,87846
976,913,1065,0,165,0,24181
310,1203,1232,0,184,0,22523
2,89,212,0,25,0,4918
810,9078,6910,0,1290,0,343203
4016,14704,10398,0,935,0,88625
36,2866,3147,1,182,1,19039
274,1384,1007,0,27,0,6100
810,9078,6910,1,1290,0,343203
810,9078,6910,0,1290,0,343203
899,922,949,0,177,0,31124
7790,526,660,0,28,0,50618
2186,317,763,0,4,0,6040
4122,510,1112,1,7,0,9139
1216,30,127,0,1,0,999
1218,994,1018,0,174,0,28588
1028,1263,1328,0,146,1,21309
869,1030,1048,0,194,0,27977
0,225,60,0,133,0,87846
318,1005,1045,0,180,0,22394
282,1440,1449,0,166,0,21132
2213,2708,4999,13,65,7,3716
91,3588,2433,0,138,0,174268
899,922,949,0,177,0,31124
47158,84779,63640,1,137,3,61231
431,231,424,0,36,0,2272
11931,1235,137,0,25,0,69090
19466,99,192,0,0,0,13721
242,673,590,0,228,0,129191
810,9078,6910,0,1290,0,343203
10560,177,123,1,9,0,22523
4016,14704,10398,0,935,1,88625
9753,1134,51,0,33,0,10781
6032,178,152,1,1,0,9894
0,225,60,0,133,0,87846
4049,68,182,2,9,2,6965
4104,562,1892,2,3,0,4216
7708,356,276,14,2,2,10886
611,284,144,0,13,0,23745
4920,970,878,1,98,1,23497
1178,169,63,36,0,36,3301
8827,13348,13581,0,286,0,34709
0,282,0,1,112,0,77525
2,89,212,0,25,0,4918
4083,154,24,1,2,0,14139
5359,124,263,0,5,0,1891
1,737,642,0,1119,0,4625
95309,1150,853,7,269,1,18742
6032,178,152,2,1,0,9894
14598,299,102,3,25,0,35714
1068,333,338,1,3,1,2816
1467,1118,1401,1,176,0,1066
44,4974,654,0,23,0,4136
4364,126621,148071,0,587,0,239822
21368,225,276,2,6,0,35493
810,9078,6910,0,1290,1,343203
1326,1473,2597,1,1,0,15815
325,504,346,7,29,0,11438
11559,730,489,4,3,0,63193
59,3844,54,0,127,0,22757
20003,1141,187,1,33,0,37165
7751,1275,347,4,53,2,41086
8026,796,460,1,2,0,8854
0,521,229,0,280,0,324316
1,4,13,0,0,0,1
9120,940,119,1,21,0,20511
25505,2305,942,8,84,2,26924
40801,475,180,0,8,0,53048
72088,568,286,3,15,0,172247
1626,507,397,0,37,1,2592
16585,239,91,4,7,0,6501
2597,963,1931,3,32,0,5027
5778,323,100,1,8,0,22014
603,6503,6473,0,73,0,58927
2,89,212,0,25,0,4918
260,5827,268,0,410,0,559276
53300,3895,3141,12,37,0,10784
9772,385,318,2,5,0,11513
0,68,820,0,19,0,1519
5673,213,123,1,32,0,7181
